GeneID,Log2FC,P_val,P_val_adj,Cluster,point_type
P35579_MYH9,0.289701525032884,0.697758913557475,0.767669247863812,03_Esophageal,0_no_sig
P35858_IGFALS,0.724918356274021,0.000709447809057003,0.00287301204944361,03_Esophageal,0_no_sig
P35900_KRT20,0.179897746494714,0.531140888525335,0.635810162155065,03_Esophageal,0_no_sig
P35908_KRT2,-1.57608772387164,4.25871332378133e-06,3.50991252646511e-05,03_Esophageal,1_left_sig
P36871_PGM1,-0.365145287925218,0.589454226804003,0.674505738487145,03_Esophageal,0_no_sig
P36955_SERPINF1,0.258738078259611,0.033387691764078,0.0724881064535685,03_Esophageal,0_no_sig
P36980_CFHR2,0.860855872597599,0.000149860188776617,0.0007997211943126,03_Esophageal,0_no_sig
P37802_TAGLN2,0.984190610275974,0.158647662765799,0.251632820664643,03_Esophageal,0_no_sig
P37837_TALDO1,1.55576105166382,0.00690066727310468,0.0195671362301379,03_Esophageal,2_right_sig
P38646_HSPA9,-0.719541291977238,0.262201028831581,0.375230043766498,03_Esophageal,0_no_sig
P39019_RPS19,-1.17327106700177,0.0752014244649762,0.140326841076802,03_Esophageal,0_no_sig
P40967_PMEL,0.41538466679591,0.11706047691637,0.199526962147006,03_Esophageal,0_no_sig
P43251_BTD,-0.309284439710266,0.116910507629039,0.199526962147006,03_Esophageal,0_no_sig
P43652_AFM,-0.510160714659966,0.0028598443983628,0.00949401832247187,03_Esophageal,0_no_sig
P46782_RPS5,0.800392484164208,0.35531067918916,0.474024293964977,03_Esophageal,0_no_sig
P46940_IQGAP1,-1.2815128687473,0.133878224758774,0.219828155506179,03_Esophageal,0_no_sig
P48556_PSMD8,-0.217806025034871,0.641611415148789,0.718353172646977,03_Esophageal,0_no_sig
P48643_CCT5,-1.20975373662372,0.00635870109641807,0.0186196437248566,03_Esophageal,1_left_sig
P48668_KRT6C,-0.34713276395124,0.0877801525654538,0.160003729470807,03_Esophageal,0_no_sig
P48740_MASP1,-0.442905090227018,0.0330395142160453,0.0722818491086661,03_Esophageal,0_no_sig
P49327_FASN,0.0498311102196993,0.931500607846752,0.949797941215171,03_Esophageal,0_no_sig
P49368_CCT3,-1.34987634400459,0.121576012718893,0.204365571103318,03_Esophageal,0_no_sig
P49454_CENPF,1.61052864189451,0.00164186467054917,0.00604841759279725,03_Esophageal,2_right_sig
P49747_COMP,0.713618897193369,0.00129213306766541,0.00486507356253306,03_Esophageal,0_no_sig
P49790_NUP153,1.71907375737339,0.139129344306996,0.225050582434263,03_Esophageal,0_no_sig
P49908_SELENOP,-0.470853524673254,0.0223735742132737,0.0517219063796732,03_Esophageal,0_no_sig
P49913_CAMP,-0.728843548134261,0.113400316208218,0.195083392151094,03_Esophageal,0_no_sig
P50990_CCT8,-1.04287771050045,0.125400401146005,0.208739501577401,03_Esophageal,0_no_sig
P50991_CCT4,-0.561940481368115,0.509717173751477,0.623230206021613,03_Esophageal,0_no_sig
P51797_CLCN6,1.20551556226759,0.000293681750525552,0.0013633518662609,03_Esophageal,2_right_sig
P51884_LUM,-0.411428283238561,0.00692217428806981,0.0195671362301379,03_Esophageal,0_no_sig
P52272_HNRNPM,-0.221867003620078,0.782738104043907,0.843289542281266,03_Esophageal,0_no_sig
P55056_APOC4,-1.26621004240901,1.79443310429984e-07,2.13462771365669e-06,03_Esophageal,1_left_sig
P55058_PLTP,-1.44851542823965,0.00297093657044078,0.00963866353250957,03_Esophageal,1_left_sig
P55072_VCP,0.794393881910777,0.342464270621302,0.461195987086707,03_Esophageal,0_no_sig
P55209_NAP1L1,0.0156510557994913,0.983743084907235,0.988938911059914,03_Esophageal,0_no_sig
P58107_EPPK1,-1.54184527118687,0.0578286300534039,0.114256566645307,03_Esophageal,0_no_sig
P60174_TPI1,1.30557019498132,0.0250624600081578,0.0563411994671578,03_Esophageal,0_no_sig
P60709_ACTB,0.577943903426444,0.0606312430272016,0.118720865362364,03_Esophageal,0_no_sig
P60842_EIF4A1,-0.298160076419821,0.681325268764282,0.751524242121983,03_Esophageal,0_no_sig
P60891_PRPS1,-1.78874040413635,0.0370820552143516,0.0793028221999803,03_Esophageal,0_no_sig
P61604_HSPE1,0.325292400832407,0.715971149811889,0.780189936149978,03_Esophageal,0_no_sig
P61769_B2M,-0.404708608055326,0.0487397843168018,0.0997505980103722,03_Esophageal,0_no_sig
P61978_HNRNPK,-1.82619668375396,0.171576367957197,0.267573677588216,03_Esophageal,0_no_sig
P62258_YWHAE,-0.235170808195704,0.868170817989578,0.911260178441266,03_Esophageal,0_no_sig
P62280_RPS11,-0.362811902238546,0.177026363330617,0.273194739085898,03_Esophageal,0_no_sig
P62318_SNRPD3,0.962899098493438,7.52425963880142e-05,0.000429635225375561,03_Esophageal,0_no_sig
P62701_RPS4X,-0.27597286288297,0.245521565040841,0.356724716636947,03_Esophageal,0_no_sig
P62736_ACTA2,0.787149060328565,0.0236065022919493,0.0539172512348121,03_Esophageal,0_no_sig
P62805_HIST1H4A,1.05682357329538,0.00143765787986501,0.00533053668443455,03_Esophageal,2_right_sig
P62913_RPL11,-2.2561105658856,6.06848888901435e-09,9.11870304112419e-08,03_Esophageal,1_left_sig
P62937_PPIA,2.31451613818426,1.26673596377773e-08,1.79647647729273e-07,03_Esophageal,2_right_sig
P62979_RPS27A,1.99264315082541,0.0381768824846168,0.0805870194612608,03_Esophageal,0_no_sig
P63104_YWHAZ,1.85051419906293,9.46769212974858e-06,6.84310405833726e-05,03_Esophageal,2_right_sig
P63241_EIF5A,1.96132813641566,0.115089189948112,0.197345127508624,03_Esophageal,0_no_sig
P63261_ACTG1,0.399590704722376,0.0705788320235585,0.134598273629365,03_Esophageal,0_no_sig
P68104_EEF1A1,1.53865989092045,8.54237964215956e-06,6.3346737346404e-05,03_Esophageal,2_right_sig
P68133_ACTA1,0.876843080435233,0.530748496802639,0.635810162155065,03_Esophageal,0_no_sig
P68363_TUBA1B,0.346681918711615,0.3496553691917,0.468669520677137,03_Esophageal,0_no_sig
P68371_TUBB4B,1.7173091898768,0.00293837593512049,0.00963866353250957,03_Esophageal,2_right_sig
P68871_HBB,-2.2812832836746,1.28993932695275e-08,1.79647647729273e-07,03_Esophageal,1_left_sig
P69892_HBG2,-1.37435959286623,0.0001884486548882,0.000958506717265726,03_Esophageal,1_left_sig
P69905_HBA1,-2.1400992796238,1.91974939238958e-07,2.23709572051928e-06,03_Esophageal,1_left_sig
P78527_PRKDC,-0.0974529186224711,0.68176805152222,0.751524242121983,03_Esophageal,0_no_sig
P80108_GPLD1,-0.958332413342497,2.84173449051425e-06,2.56020596966141e-05,03_Esophageal,0_no_sig
P80748_IGLV3-21,-0.480299353978552,0.0380698198115525,0.0805870194612608,03_Esophageal,0_no_sig
P81605_DCD,2.58866303489445,1.37893852825968e-07,1.71168239051365e-06,03_Esophageal,2_right_sig
P84077_ARF1,-0.724924104932283,0.249265787830715,0.360331050256553,03_Esophageal,0_no_sig
P98160_HSPG2,0.722917890115735,0.300312542509099,0.418240150665111,03_Esophageal,0_no_sig
P98161_PKD1,0.900610500664634,0.104298079233981,0.184228335567762,03_Esophageal,0_no_sig
